set	tier	side	measured	n_measured	unique_frac	shared_copy_frac	largest_cluster_frac	largest_cluster	worst_flag
oma_SINE5_rand100	rand100	right	True	68	0.25	0.75	0.662	45	high
oma_SINE7_rand100	rand100	left	True	100	0.5	0.5	0.22	22	high
oma_SINE7_rand100	rand100	right	True	100	0.53	0.47	0.35	35	high
oma_SINE9_rand100	rand100	left	True	69	0.942	0.058	0.029	2	high
oma_SINE9_rand100	rand100	right	True	52	0.442	0.558	0.269	14	high
oma_ancient78_rand100	rand100	left	False	0					high
oma_ancient78_rand100	rand100	right	True	6	1.0	0.0	0.167	1	high
oma_big76_rand100	rand100	left	True	98	0.898	0.102	0.061	6	
oma_big76_rand100	rand100	right	True	99	0.949	0.051	0.03	3	
oma_g1_rand100	rand100	left	True	100	0.27	0.73	0.55	55	high
oma_g1_rand100	rand100	right	True	100	0.96	0.04	0.02	2	high
oma_group34_rand100	rand100	left	True	99	0.909	0.091	0.03	3	
oma_group34_rand100	rand100	right	True	99	0.96	0.04	0.02	2	
oma_grp080_rand100	rand100	left	True	98	0.816	0.184	0.184	18	high
oma_grp080_rand100	rand100	right	True	99	0.828	0.172	0.152	15	high
oma_grp128_rand100	rand100	left	True	99	1.0	0.0	0.01	1	
oma_grp128_rand100	rand100	right	True	99	0.929	0.071	0.04	4	
oma_grp321_rand100	rand100	left	True	100	0.8	0.2	0.08	8	medium
oma_grp321_rand100	rand100	right	True	100	0.96	0.04	0.02	2	medium
oma_long12_rand100	rand100	left	True	96	0.958	0.042	0.042	4	high
oma_long12_rand100	rand100	right	True	100	0.33	0.67	0.39	39	high
oma_sub515_rand100	rand100	left	True	49	0.857	0.143	0.102	5	medium
oma_sub515_rand100	rand100	right	True	49	0.857	0.143	0.061	3	medium
