call	set	score	n	id_all	flank_bg	cliff	frac_sup	flags
SINE	NEGSPLICE__ccr_g3_71seqs__teu_t4_92seqs__06	100.0	50	0.823	0.331	0.492	1.0	
SINE	NEGSPLICE__ccr_g5_7seqs__saq_s2_38seqs__14	100.0	50	0.677	0.29	0.387	1.0	
SINE	NEGSPLICE__ccr_g6_58seqs__ccr_g7_3seqs__04	100.0	50	0.757	0.298	0.459	1.0	
SINE	NEGSPLICE__ccr_g6_58seqs__dmo_d1_16seqs__15	100.0	50	0.689	0.282	0.407	1.0	
SINE	NEGSPLICE__ccr_g6_58seqs__teu_t3_27seqs__16	100.0	50	0.762	0.296	0.466	1.0	
SINE	NEGSPLICE__ccr_g7_3seqs__ccr_a_ccr__13	100.0	50	0.716	0.276	0.44	1.0	
SINE	NEGSPLICE__dmo_d1_16seqs__saq_s1_30seqs__12	100.0	50	0.8	0.307	0.493	1.0	
SINE	NEGSPLICE__dmo_d5_268seqs__saq_s3_43seqs__11	100.0	50	0.838	0.314	0.524	1.0	
SINE	NEGSPLICE__saq_s4_60seqs__saq_s9_20seqs__07	100.0	50	0.834	0.31	0.524	1.0	
SINE	NEGSPLICE__saq_s5_5seqs__saq_s8_225seqs__02	100.0	50	0.832	0.282	0.55	1.0	
SINE	NEGSPLICE__saq_s8_225seqs__saq_s7g_172seqs__08	100.0	50	0.844	0.314	0.53	1.0	
SINE	NEGSPLICE__teu_t3_27seqs__dmo_d1_16seqs__01	100.0	50	0.794	0.286	0.508	1.0	
SINE	NEGSPLICE__teu_t3_27seqs__teu_t2_75seqs__05	100.0	50	0.765	0.331	0.434	1.0	FLANKS_UNMEASURED
SINE	NEGSPLICE__teu_t4_92seqs__saq_s3_43seqs__18	100.0	50	0.746	0.308	0.438	1.0	
SINE	NEGSPLICE__teu_t5_31seqs__ccr_g7_3seqs__19	100.0	50	0.775	0.307	0.468	1.0	
SINE	NEGSPLICE__teu_t5_31seqs__saq_s2_38seqs__10	100.0	50	0.765	0.29	0.475	1.0	
SINE	NEGSPLICE__teu_t5_31seqs__teu_t6_324seqs__00	100.0	50	0.844	0.314	0.53	1.0	
SINE	NEGSPLICE__teu_t6_324seqs__saq_s2_38seqs__09	100.0	50	0.72	0.307	0.413	1.0	
